index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
4410,Road Hard,tt3110770,"Adam Carolla, Kevin Hench","Following an expensive divorce and the cancellation of his TV show, a stand-up comic is forced to go back on the road to provide for his daughter.",N/A,50,movie
4411,Krampus,tt3850590,"Todd Casey, Michael Dougherty, Zach Shields",A boy who has a bad Christmas ends up accidentally summoning a festive demon to his family home.,4 wins & 14 nominations.,49,movie
4412,Hot Tub Time Machine 2,tt2637294,"Josh Heald, Josh Heald (characters), John Karnay (additional screenwriting)","When Lou gets killed, Nick and Jacob fire up the hot tub time machine to get back to the past, but they inadvertently land in the future with Adam Jr. Now they have to alter the future in ...",2 nominations.,29,movie
4413,Vacation,tt1524930,"Jonathan Goldstein, John Francis Daley, John Hughes (characters)","Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons.",1 win & 3 nominations.,34,movie
4414,Time to Choose,tt5001130,"Chad Beck, Charles Ferguson",Documentary filmmaker Charles Ferguson turns his lens to address worldwide climate change challenges and solutions.,N/A,75,movie
4415,Bleeding Hearts,tt2622294,"Ken Del Vecchio, Ken Del Vecchio (story & screenplay), Rachael Robbins, Rachael Robbins (screenplay)","Captured Hearts, an insane serial killer/horror film, is a heart-jumping, heart-crushing - truly demented - roller coaster ride of mystery, violence, sex and gore. With a raging, climatic ...",N/A,N/A,movie
4416,Fantastic Four,tt1502712,"Jeremy Slater (screenplay), Simon Kinberg (screenplay), Josh Trank (screenplay), Stan Lee (Marvel comic book), Jack Kirby (Marvel comic book)",Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,8 wins & 4 nominations.,27,movie
4417,Sharkskin,tt2317796,Dan Perri,Italian tailor Mike Esposito makes suits for mafia Don Piano and falls into a moral dilemma.,N/A,N/A,movie
4418,Accidental Love,tt1137470,"Kristin Gore (screenplay), Matthew Silverstein (screenplay), Dave Jeser (screenplay), Kristin Gore (screen story), Matthew Silverstein (screen story), Dave Jeser (screen story), Kristin Gore (novel)","A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, D.C., where sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?",N/A,20,movie
4419,Animal Kingdom: Let's go Ape,tt1220911,"Roy Lewis (novel), Fred Fougea (screenplay by), Fred Fougea (based on a screenplay by), Jean-Luc Fromental (based on a screenplay by), Jamel Debbouze (adaptation), Ahmed Hamidi (adaptation), Victor Mayence (adaptation), Pierre Ponce (adaptation), Johnny Smith (adaptation), Rob Sprackling (adaptation), Jamel Debbouze (dialogue), Ahmed Hamidi (dialogue), Victor Mayence (dialogue), Pierre Ponce (dialogue), Olivier De Funès (collaborator), Jamel Debbouze (screenplay)",The outcast son of a primate King learns about being a monkey.,N/A,N/A,movie
4420,Broken Horses,tt2503954,"Vidhu Vinod Chopra, Abhijat Joshi","The bonds of brotherhood, the laws of loyalty, and the futility of violence in the shadows of the US Mexico border gang wars.",N/A,32,movie
4421,Burnt,tt2503944,"Steven Knight (screenplay), Michael Kalesniko (story)","Adam Jones (Bradley Cooper) is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",6 wins & 1 nomination.,42,movie
4422,The Duff,tt1666801,"Josh A. Cagan (screenplay), Kody Keplinger (novel)","A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.",1 win & 8 nominations.,56,movie
4423,Growing Up Smith,tt1105355,"Anjul Nigam, Paul Quinn, Gregory Scott Houghton, Anjul Nigam (screenplay)","In 1979, an Indian family moves to America with hopes of living the American Dream. While their 10-year-old boy Smith falls head-over-heels for the girl next door, his desire to become a ""good old boy"" propels him further away from his family's ideals than ever before.",5 wins & 8 nominations.,N/A,movie
4424,The Diary of a Teenage Girl,tt3172532,"Phoebe Gloeckner (novel), Marielle Heller (screenplay)",A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.,16 wins & 35 nominations.,87,movie
4425,Dragon Blade,tt3672840,Daniel Lee,"When corrupt Roman leader Tiberius arrives with a giant army to claim the Silk Road, Huo An teams up his army with an elite Legion of defected Roman soldiers led by General Lucius to protect his country and his new friends.",2 wins & 1 nomination.,41,movie
4426,No Escape,tt1781922,"John Erick Dowdle, Drew Dowdle","In their new overseas house, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.",1 win & 1 nomination.,38,movie
4427,Dope,tt3850214,Rick Famuyiwa,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.",6 wins & 23 nominations.,72,movie
4428,Zipper,tt3346224,"Mora Stephens, Mora Stephens, Joel Viertel, Joel Viertel",A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.,N/A,39,movie
4429,Goosebumps,tt1051904,"Darren Lemke (screenplay by), Scott Alexander (story by), Larry Karaszewski (story by), R.L. Stine (based on the ""Goosebumps"" books written by)","A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",4 nominations.,60,movie
4430,Freeheld,tt1658801,Ron Nyswaner (screenplay by),"New Jersey police lieutenant, Laurel Hester, and her registered domestic partner, Stacie Andree, both battle to secure Hester's pension benefits when she is diagnosed with terminal cancer.",1 win & 10 nominations.,50,movie
4431,The World Is Mine,tt4707756,Raluca Manescu,"'The World Is Mine' is about a teenager's drama in the 2000s, focusing on the story of Larisa (Ana Maria Guran), a regular teenager from Constanta, Romania. Larisa wants a lot from life: ...",4 wins & 8 nominations.,N/A,movie
4432,Pound of Flesh,tt3488328,Joshua Todd James,A man's heroic attempt to help a woman in distress ends up with him waking up the next day without a kidney and plotting his revenge.,N/A,41,movie
4433,They Will Have to Kill Us First,tt4333662,Andy Morgan,"Islamic extremists have banned music in Mali, but its world famous musicians wont give up without a fight. They Will Have To Kill Us First tells the story of Malis musicians, as they fight ...",2 wins & 1 nomination.,67,movie
4434,Ip Man 3,tt2888046,"Tai-lee Chan, Lai-Yin Leung, Edmond Wong","When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.",1 win & 20 nominations.,57,movie
4435,Western Religion,tt3210710,James O'Brien,"The year is 1879. Gunfighters from the far reaches of the globe descend on the mining town of Religion, Arizona to compete in a legendary poker tournament.",N/A,N/A,movie
4436,The Assassin,tt3508840,"Cheng Ah (screenplay), T'ien-wen Chu (screenwriter), Hsiao-Hsien Hou (screenplay), Hai-Meng Hsieh (screenplay), Xing Pei (short story)",A female assassin receives a dangerous mission to kill a political leader in eighth-century China.,Nominated for 1 BAFTA Film Award. Another 30 wins & 61 nominations.,80,movie
4437,Cinderella,tt1661199,"Chris Weitz (screenplay by), Charles Perrault (story)","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",Nominated for 1 Oscar. Another 8 wins & 35 nominations.,67,movie
4438,Focus,tt2381941,"Glenn Ficarra, John Requa","In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",3 nominations.,56,movie
4439,Aloha,tt1243974,Cameron Crowe,A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watch-dog assigned to him.,2 wins & 7 nominations.,40,movie
4440,Project Almanac,tt2436386,"Jason Pagan, Andrew Deutschman","A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",N/A,47,movie
4441,Little Boy,tt1810683,"Alejandro Monteverde, Pepe Portillo",An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.,1 nomination.,30,movie
4442,Regression,tt3319920,Alejandro Amenábar,A detective and a psychoanalyst uncover evidence of a satanic cult while investigating a young woman's terrifying past.,1 win & 2 nominations.,32,movie
4443,The Last Witch Hunter,tt1618442,"Cory Goodman, Matt Sazama, Burk Sharpless",The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,1 nomination.,34,movie
4444,Danny Collins,tt1772288,Dan Fogelman,An aging rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon.,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,58,movie
4445,Pixels,tt2120120,"Tim Herlihy (screenplay), Timothy Dowling (screenplay), Tim Herlihy (screen story), Patrick Jean (short film)","When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",4 wins & 9 nominations.,27,movie
4446,Our Brand Is Crisis,tt1018765,"Rachel Boynton (suggested by the documentary), Peter Straughan (screenplay)","A battle-hardened American political consultant is sent to help re-elect a controversial president in Bolivia, where she must compete with a long-term rival working for another candidate.",2 nominations.,53,movie
4447,Get Hard,tt2561572,"Jay Martel (screenplay), Ian Roberts (screenplay), Etan Cohen (screenplay), Adam McKay (story), Jay Martel (story), Ian Roberts (story)","When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",2 nominations.,34,movie
4448,Love the Coopers,tt2279339,Steven Rogers (screenplay),The intertwined stories of four generations of Coopers unfold right before the annual family reunion on Christmas Eve.,2 nominations.,31,movie
4449,Mortdecai,tt3045616,"Eric Aronson (screenplay), Kyril Bonfiglioli (novel)","Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",1 win & 8 nominations.,27,movie
4450,Ex Machina,tt0470752,Alex Garland,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,Won 1 Oscar. Another 70 wins & 153 nominations.,78,movie
4451,The Gift,tt4178092,Joel Edgerton,A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.,2 wins & 12 nominations.,77,movie
4452,The Little Prince,tt1754656,"Irena Brignull (original screenplay by), Bob Persichetti (original screenplay by), Antoine de Saint-Exupéry (based on ""Le Petit Prince"" by)","A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",5 wins & 12 nominations.,70,movie
4453,Departure,tt2248739,Andrew Steggall,A nuclear family unravels in the South of France.,3 wins & 6 nominations.,N/A,movie
4454,Time Traveller,tt1321869,"Ajey Jhankar (story), Roland Joffé","An epic, sweeping and riveting tale of an impossible love set across two time periods and continents.",N/A,19,movie
4455,Paper Towns,tt3622592,"Scott Neustadter (screenplay by), Michael H. Weber (screenplay by), John Green (based on the book by)","After an all-night adventure, Quentin's lifelong crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime.",4 wins & 3 nominations.,56,movie
4456,Woman in Gold,tt2404425,"Alexi Kaye Campbell, E. Randol Schoenberg (life story), Maria Altmann (life story)","Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family.",6 nominations.,51,movie
4457,The Rise of the Krays,tt2945796,"Ken Brown, Sebastian Brown",Two brothers unleash a psychotic reign of terror on their journey to build an empire of unprecedented power in the British Mafia.,1 win.,N/A,movie
4458,The Looking Glass,tt2912776,"Dorothy Tristan, Dorothy Tristan","Troubled 13-year-old Julie loses her mother and must go to Indiana to live with her grandmother Karen. A former star of stage and screen, Karen has the early stages of Alzheimer's and wants...",1 win.,N/A,movie
4459,Victor Frankenstein,tt1976009,"Max Landis (screenplay), Max Landis (screen story), Mary Shelley (novel)","Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",4 wins & 1 nomination.,36,movie
4460,Brooklyn,tt2381111,"Nick Hornby, Colm Tóibín (novel)","An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",Nominated for 3 Oscars. Another 37 wins & 152 nominations.,88,movie
4461,10 Days in a Madhouse,tt3453052,Timothy Hines,"In 1887, at age 23, reporter Nellie Bly, working for Joseph Pulitzer, feigns mental illness to go undercover in notorious Blackwell's Island a woman's insane asylum to expose corruption, abuse and murder.",N/A,N/A,movie
4462,Max,tt3369806,"Boaz Yakin, Sheldon Lettich",A military dog that helped American Marines in Afghanistan returns to the United States and is adopted by his handler's family after suffering a traumatic experience.,1 win & 1 nomination.,47,movie
4463,Secret in Their Eyes,tt1741273,"Billy Ray (screenplay), Juan José Campanella (film ""El secreto de sus ojos""), Eduardo Sacheri (film ""El secreto de sus ojos"")","A tight-knit team of rising investigators, along with their supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered.",1 win & 3 nominations.,45,movie
4464,Pan,tt3332064,"Jason Fuchs, J.M. Barrie (characters)","Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan.",8 nominations.,36,movie
4465,Counting,tt4462082,N/A,"Fifteen distinct but interconnected chapters, shot in locations from Russia to New York City to Istanbul. Together, these build to a reckoning at the intersection of city symphony, diary, ...",1 win.,79,movie
4466,The Second Mother,tt3742378,Anna Muylaert,"When the estranged daughter of a hard-working live-in housekeeper suddenly appears, the unspoken class barriers that exist within the home are thrown into disarray.",28 wins & 18 nominations.,82,movie
4467,Strangerland,tt2325977,"Michael Kinirons, Fiona Seres (story), Fiona Seres","A family finds their dull life in a rural outback town rocked after their two teenage children disappear into the desert, sparking disturbing rumors of their past.",1 win & 6 nominations.,42,movie
4468,The Age of Adaline,tt1655441,"J. Mills Goodloe (screenplay by), Salvador Paskowitz (screenplay by), J. Mills Goodloe (screenplay), J. Mills Goodloe (story by), Salvador Paskowitz (story by)","A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",1 win & 9 nominations.,51,movie
4469,Point Break,tt2058673,"Kurt Wimmer (screenplay), Rick King (story), W. Peter Iliff (story), Kurt Wimmer (story), W. Peter Iliff, Rick King, W. Peter Iliff","A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.",3 nominations.,34,movie
4470,San Andreas,tt2126355,"Carlton Cuse (screenplay), Andre Fabrizio (story), Jeremy Passmore (story), Carlton Cuse, Andre Fabrizio","In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.",2 wins & 10 nominations.,43,movie
4471,Run All Night,tt2199571,Brad Ingelsby,"Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son.",N/A,59,movie
4472,The Gunman,tt2515034,"Jean-Patrick Manchette (novel), Don MacPherson (screenplay), Pete Travis (screenplay), Sean Penn (screenplay)","A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",1 nomination.,39,movie
4473,Pitch Perfect 2,tt2848292,"Kay Cannon, Mickey Rapkin (based on the book by)","After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",9 wins & 16 nominations.,63,movie
4474,Magic Mike XXL,tt2268016,Reid Carolin,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",2 wins & 5 nominations.,60,movie
4475,The Man from U.N.C.L.E.,tt1638355,"Guy Ritchie (screenplay by), Lionel Wigram (screenplay by), Jeff Kleeman (story by), David C. Wilson (story by), Guy Ritchie (story by), Lionel Wigram (story by), Sam Rolfe (based on the television series created by)","In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",7 wins & 5 nominations.,56,movie
4476,Ant-Man,tt0478970,"Edgar Wright (screenplay by), Joe Cornish (screenplay by), Adam McKay (screenplay by), Paul Rudd (screenplay by), Edgar Wright (story by), Joe Cornish (story by), Stan Lee (based on the Marvel comics by), Larry Lieber (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.,64,movie
4477,Self/less,tt2140379,"Àlex Pastor, David Pastor","A dying real estate mogul transfers his consciousness into a healthy young body, but soon finds that neither the procedure nor the company that performed it are quite what they seem.",N/A,34,movie
4478,Room,tt3170832,"Emma Donoghue (screenplay by), Emma Donoghue (based on the novel by)","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Won 1 Oscar. Another 103 wins & 136 nominations.,86,movie
4479,My All-American,tt3719896,"Angelo Pizzo, Jim Dent (book)","Freddie Steinmark, an underdog on the gridiron, faces the toughest challenge of his life after leading his team to a championship season.",1 win.,34,movie
4480,Insurgent,tt2908446,"Brian Duffield (screenplay), Akiva Goldsman (screenplay), Mark Bomback (screenplay), Veronica Roth (novel)",Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,3 wins & 17 nominations.,42,movie
4481,Do You Believe?,tt4056738,"Chuck Konzelman, Cary Solomon","When a pastor is shaken by the visible faith of a street corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate.",1 nomination.,22,movie
4482,Chappie,tt1823672,"Neill Blomkamp, Terri Tatchell","In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",3 nominations.,41,movie
4483,Mad Max: Fury Road,tt1392190,"George Miller, Brendan McCarthy, Nick Lathouris","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Won 6 Oscars. Another 232 wins & 219 nominations.,90,movie
4484,Sicario,tt3397884,Taylor Sheridan,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Nominated for 3 Oscars. Another 15 wins & 150 nominations.,82,movie
4485,Everest,tt2719848,"William Nicholson (screenplay), Simon Beaufoy (screenplay)","The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.",7 nominations.,64,movie
4486,90 Minutes in Heaven,tt4337690,"Michael Polish (screenplay by), Don Piper (based on the book by), Cecil Murphey (based on the book by)","A man involved in a horrific car crash is pronounced dead, only to come back to life an hour and a half later, claiming to have seen Heaven.",N/A,28,movie
4487,The Intern,tt2361509,Nancy Meyers,"Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",1 win & 7 nominations.,51,movie
4488,The Second Best Exotic Marigold Hotel,tt2555736,"Ol Parker (screenplay by), Ol Parker (screen story by), John Madden (screen story by)",As the Best Exotic Marigold Hotel has only a single remaining vacancy - posing a rooming predicament for two fresh arrivals - Sonny pursues his expansionist dream of opening a second hotel.,2 nominations.,51,movie
4489,Subconscious,tt2909932,Georgia Hilton,An investigation into a retired WWII sub plunges a research team into a supernatural journey across the dark abyss of time - with history hanging in the balance.,N/A,N/A,movie
4490,By the Sea,tt3707106,Angelina Jolie,A couple tries to repair their marriage while staying at a hotel in France.,1 win & 2 nominations.,44,movie
4491,Steve Jobs,tt2080374,"Aaron Sorkin (screenplay), Walter Isaacson (book)","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",Nominated for 2 Oscars. Another 28 wins & 109 nominations.,82,movie
4492,In the Heart of the Sea,tt1390411,"Charles Leavitt (screenplay), Charles Leavitt (story), Rick Jaffa (story), Amanda Silver (story), Nathaniel Philbrick (book)","A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",1 win & 5 nominations.,47,movie
4493,Concussion,tt3322364,"Peter Landesman, Jeanne Marie Laskas (based on the GQ article ""Game Brain"" by)","In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.",Nominated for 1 Golden Globe. Another 4 wins & 15 nominations.,55,movie
4494,The Walk,tt3488710,"Robert Zemeckis (screenplay), Christopher Browne (screenplay), Philippe Petit (book)","In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers.",3 wins & 17 nominations.,70,movie
4495,Black Mass,tt1355683,"Mark Mallouk (screenplay), Jez Butterworth (screenplay), Dick Lehr (based on the book by), Gerard O'Neill (based on the book by)","The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",6 wins & 24 nominations.,68,movie
4496,Jurassic World,tt0369610,"Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",14 wins & 57 nominations.,59,movie
4497,Southpaw,tt1798684,Kurt Sutter,"A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.",10 nominations.,57,movie
4498,Joy,tt2446980,"David O. Russell (screenplay), Annie Mumolo (story), David O. Russell (story)","Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",Nominated for 1 Oscar. Another 7 wins & 20 nominations.,56,movie
4499,Mi America,tt2460506,Robert Fontaine,"A hate-crime has been committed in a the small city of Braxton, N.Y. Five migrant laborers have been beaten, shot, then ditched. This will upset the delicate balance of an ethnically diverse populace.",N/A,N/A,movie
4500,Ted 2,tt2637276,"Seth MacFarlane, Alec Sulkin, Wellesley Wild, Seth MacFarlane (based on characters created by)","Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",3 wins & 4 nominations.,48,movie
4501,Terminator Genisys,tt1340138,"Laeta Kalogridis, Patrick Lussier, James Cameron (based on characters created by), Gale Anne Hurd (based on characters created by)","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",8 nominations.,38,movie
4502,The 33,tt2006295,"Mikko Alanne (screenplay), Craig Borten (screenplay), Michael Thomas (screenplay), Jose Rivera (screen story), Hector Tobar (book)","Based on the real-life event, when a gold and copper mine collapses, it traps 33 miners underground for 69 days.",7 wins & 5 nominations.,55,movie
4503,Jupiter Ascending,tt1617661,"Lilly Wachowski, Lana Wachowski",A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,4 wins & 16 nominations.,40,movie
4504,Spotlight,tt1895587,"Josh Singer, Tom McCarthy","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Won 2 Oscars. Another 119 wins & 138 nominations.,93,movie
4505,The Longest Ride,tt2726560,"Nicholas Sparks (novel), Craig Bolotin (screenplay)","The lives of a young couple intertwine with a much older man, as he reflects back on a past love.",1 win & 5 nominations.,33,movie
4506,Trainwreck,tt3152624,Amy Schumer,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",Nominated for 2 Golden Globes. Another 5 wins & 25 nominations.,75,movie
4507,Fifty Shades of Grey,tt2322441,"Kelly Marcel (screenplay by), E.L. James (based on the novel by)","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Nominated for 1 Oscar. Another 9 wins & 26 nominations.,46,movie
4508,Stonewall,tt3018070,Jon Robin Baitz,A young man's political awakening and coming of age during the days and weeks leading up to the Stonewall Riots.,2 nominations.,30,movie
4509,A Tale of Three Cities,tt3682770,"Mabel Cheung, Alex Law","A Hong Kong war romantic film set in World War II based on the real-life story of Jackie Chan's parents, Charles and Lee-Lee Chan.",5 nominations.,N/A,movie
4510,Tomorrowland,tt1964418,"Damon Lindelof (screenplay by), Brad Bird (screenplay by), Damon Lindelof (story by), Brad Bird (story by), Jeff Jensen (story by)","Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.",2 wins & 17 nominations.,60,movie
4511,The Big Short,tt1596363,"Charles Randolph (screenplay by), Adam McKay (screenplay by), Michael Lewis (based upon the book by)",In 2006-7 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,Won 1 Oscar. Another 37 wins & 79 nominations.,81,movie
4512,Mission: Impossible - Rogue Nation,tt2381249,"Christopher McQuarrie (screenplay), Christopher McQuarrie (story), Drew Pearce (story), Bruce Geller (television series)","Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",6 wins & 23 nominations.,75,movie
4513,Maze Runner: The Scorch Trials,tt4046784,"T.S. Nowlin (screenplay by), James Dashner (based upon the novel ""The Scorch Trials"" by)","After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",2 wins & 5 nominations.,43,movie
4514,Legend,tt3569230,"Brian Helgeland, John Pearson (book)",Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,6 wins & 10 nominations.,55,movie
4515,Creed,tt3076658,"Ryan Coogler (screenplay by), Aaron Covington (screenplay by), Ryan Coogler (story by), Sylvester Stallone (based on characters created by)","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Nominated for 1 Oscar. Another 46 wins & 61 nominations.,82,movie
4516,Blackhat,tt2717822,Morgan Davis Foehl,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,5 nominations.,51,movie
4517,Child 44,tt1014763,"Richard Price (screenplay), Tom Rob Smith (novel)",A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.,2 nominations.,41,movie
4518,The Hunger Games: Mockingjay - Part 2,tt1951266,"Peter Craig (screenplay), Danny Strong (screenplay), Suzanne Collins (adaptation), Suzanne Collins (novel)",Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,17 wins & 34 nominations.,65,movie
4519,Furious 7,tt2820852,"Chris Morgan, Gary Scott Thompson (characters)",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Nominated for 1 Golden Globe. Another 28 wins & 31 nominations.,67,movie
4520,Sardaar Ji,tt4080386,"Surmeet Maavi (additional dialogue), Dheeraj Rattan","A smart, young, fearless, Indian ghost hunter traps ghosts in bottles.",N/A,N/A,movie
