index,Title,imdbID,Writer,Plot,Awards,Metascore,Type
54,Niagara,tt0046126,"Charles Brackett, Walter Reisch, Richard L. Breen","As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder.",N/A,N/A,movie
55,From Here to Eternity,tt0045793,"Daniel Taradash (screen play), James Jones (based upon the novel by)","In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",Won 8 Oscars. Another 14 wins & 7 nominations.,85,movie
56,The Robe,tt0046247,"Philip Dunne (screenplay), Gina Kaus (adaptation), Lloyd C. Douglas (novel), Albert Maltz (screenplay)","In the Roman province of Judea during the 1st century, Roman tribune Marcellus Gallio is ordered to crucify Jesus of Nazareth but is tormented by his guilty conscience afterwards.",Won 2 Oscars. Another 3 wins & 4 nominations.,N/A,movie
57,On the Waterfront,tt0047296,"Budd Schulberg (screenplay), Budd Schulberg (based upon an original story by), Malcolm Johnson (suggested by articles by)",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Won 8 Oscars. Another 21 wins & 9 nominations.,91,movie
58,The Egyptian,tt0046949,"Philip Dunne (screen play), Casey Robinson (screen play), Mika Waltari (novel)","In ancient Egypt, a poor orphan becomes a genial physician and is eventually appointed at the Pharaoh's court where he witnesses palace intrigues and learns dangerous royal secrets.",Nominated for 1 Oscar. Another 1 win.,N/A,movie
59,Seven Samurai,tt0047478,"Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,98,movie
60,The Trouble with Harry,tt0048750,"John Michael Hayes (screenplay), Jack Trevor Story (based on the novel by)","The trouble with Harry is that he's dead, and everyone seems to have a different idea of what should be done with his body.",Won 1 Golden Globe. Another 4 nominations.,74,movie
61,Ordet,tt0048452,Kaj Munk (play),"Follows the lives of the Borgen family, as they deal with inner conflict, as well as religious conflict with each other, and the rest of the town.",Won 1 Golden Globe. Another 6 wins & 1 nomination.,N/A,movie
62,Love Me Tender,tt0049452,"Robert Buckner (screenplay), Maurice Geraghty (story)","At the end of the Civil War, a Confederate team is ordered to rob a Union payroll train but the war ends leaving these men with their Union loot, until the Feds come looking for it.",N/A,N/A,movie
63,Trapeze,tt0049875,"Max Catto (novel), Liam O'Brien (adaptation), James R. Webb (screenplay)","A crippled circus acrobat is torn emotionally between two ambitious young trapeze artists, one a talented young American and a less-gifted but beautiful Italian.",3 wins & 1 nomination.,N/A,movie
64,Moby Dick,tt0049513,"Ray Bradbury (screenplay), John Huston (screenplay)","The sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, Moby Dick.",5 wins & 4 nominations.,N/A,movie
65,12 Angry Men,tt0050083,"Reginald Rose (story), Reginald Rose (screenplay)",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Nominated for 3 Oscars. Another 16 wins & 8 nominations.,96,movie
66,The Bridge on the River Kwai,tt0050212,"Pierre Boulle (novel), Carl Foreman (screenplay), Michael Wilson (screenplay)","After settling his differences with a Japanese P.O.W. camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors, while oblivious to a plan by the Allies to destroy it.",Won 7 Oscars. Another 23 wins & 7 nominations.,87,movie
67,Cat on a Hot Tin Roof,tt0051459,"Richard Brooks (screenplay), James Poe (screenplay), Tennessee Williams (play)","Brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie. His reunion with his father, Big Daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son.",Nominated for 6 Oscars. Another 3 wins & 10 nominations.,N/A,movie
68,Some Like It Hot,tt0053291,"Billy Wilder (screenplay), I.A.L. Diamond (screenplay), Robert Thoeren (suggested by a story by), Michael Logan (suggested by a story by)","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Won 1 Oscar. Another 9 wins & 13 nominations.,97,movie
69,Solomon and Sheba,tt0053290,"Crane Wilbur (story), Anthony Veiller (screenplay), Paul Dudley (screenplay), George Bruce (screenplay)","After becoming king of ancient Israel, Solomon faces threats coming from his jealous dispossessed brother Adonijah, the Egyptian Pharaoh and the scheming Queen of Sheba.",1 nomination.,N/A,movie
70,The Nun's Story,tt0053131,"Robert Anderson (screenplay), Kathryn Hulme (book)","After leaving a wealthy Belgian family to become a nun, Sister Luke struggles with her devotion to her vows during crisis, disappointment, and World War II.",Nominated for 8 Oscars. Another 11 wins & 15 nominations.,N/A,movie
71,Psycho,tt0054215,"Joseph Stefano (screenplay by), Robert Bloch (based on the novel by)","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Nominated for 4 Oscars. Another 5 wins & 9 nominations.,97,movie
72,The Apartment,tt0053604,"Billy Wilder, I.A.L. Diamond","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Won 5 Oscars. Another 19 wins & 8 nominations.,94,movie
73,Elmer Gantry,tt0053793,"Richard Brooks (screenplay), Sinclair Lewis (from the novel by)","A fast-talking traveling salesman with a charming, loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.",Won 3 Oscars. Another 8 wins & 12 nominations.,N/A,movie
74,The Misfits,tt0055184,Arthur Miller (screenplay),A divorcée falls for an over-the-hill cowboy who is struggling to maintain his romantically independent lifestyle.,1 win & 1 nomination.,77,movie
75,The Hustler,tt0054997,"Sidney Carroll (screenplay), Robert Rossen (screenplay), Walter Tevis (based on the novel by)",An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Won 2 Oscars. Another 11 wins & 20 nominations.,90,movie
76,Pocketful of Miracles,tt0055312,"Hal Kanter (screenplay), Harry Tugend (screenplay), Robert Riskin (based on a screenplay by), Damon Runyon (story)",A New York gangster and his girlfriend attempt to turn street beggar Apple Annie into a society lady when the peddler learns her daughter is marrying royalty.,Nominated for 3 Oscars. Another 2 wins & 5 nominations.,N/A,movie
77,West Side Story,tt0055614,"Ernest Lehman (screenplay), Arthur Laurents (book), Jerome Robbins (play)","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",Won 10 Oscars. Another 18 wins & 11 nominations.,86,movie
78,Judgment at Nuremberg,tt0055031,"Abby Mann, Abby Mann (based on his original story by)","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Won 2 Oscars. Another 14 wins & 25 nominations.,60,movie
79,The Brain That Wouldn't Die,tt0052646,"Joseph Green (screenplay), Rex Carlton (original story), Joseph Green (original story)","A doctor experimenting with transplant techniques keeps his girlfriend's head alive when she is decapitated in a car crash, then goes hunting for a new body.",N/A,N/A,movie
80,Dr. No,tt0055928,"Richard Maibaum (screenplay), Johanna Harwood (screenplay), Berkely Mather (screenplay), Ian Fleming (novel)",A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,Won 1 Golden Globe. Another 1 win & 4 nominations.,78,movie
